Police Department, State,2014 population (US Census),2015 victims,Rate of Police Killings per Million Population,Black population (2012 Census by Race),Percent population black,2015 black victims,Percent victims black,Disparity,Violent crimes (2014 FBI UCR),"Violent Crime per 1,000 residents",Police Department,People,"Population estimates, July 1, 2014,  (V2014)","Population estimates base, April 1, 2010,  (V2014)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2014,  (V2014)","Population, Census, April 1, 2010","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent, April 1, 2010","Female persons, percent, April 1, 2010","White alone, percent, April 1, 2010  (a)","Black or African American alone, percent, April 1, 2010  (a)","American Indian and Alaska Native alone, percent, April 1, 2010  (a)","Asian alone, percent, April 1, 2010  (a)","Native Hawaiian and Other Pacific Islander alone, percent, April 1, 2010  (a)","Two or More Races, percent, April 1, 2010","Hispanic or Latino, percent, April 1, 2010  (b)","White alone, not Hispanic or Latino, percent, April 1, 2010","Veterans, 2010-2014","Foreign born persons, percent, 2010-2014","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2010-2014","Median value of owner-occupied housing units, 2010-2014","Median selected monthly owner costs -with a mortgage, 2010-2014","Median selected monthly owner costs -without a mortgage, 2010-2014","Median gross rent, 2010-2014","Households, 2010-2014","Persons per household, 2010-2014","Living in same house 1 year ago, percent of persons age 1 year+, 2010-2014","Language other than English spoken at home, percent of persons age 5 years+, 2010-2014","High school graduate or higher, percent of persons age 25 years+, 2010-2014","Bachelor's degree or higher, percent of persons age 25 years+, 2010-2014","With a disability, under age 65 years, percent, 2010-2014","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2010-2014","In civilian labor force, female, percent of population age 16 years+, 2010-2014","Total accommodation and food services sales, 2007 ($1,000)  (c)","Total health care and social assistance receipts/revenue, 2007 ($1,000)  (c)","Total manufacturers shipments, 2007 ($1,000)  (c)","Total merchant wholesaler sales, 2007 ($1,000)  (c)","Total retail sales, 2007 ($1,000)  (c)","Total retail sales per capita, 2007  (c)","Mean travel time to work (minutes), workers age 16 years+, 2010-2014","Median household income (in 2014 dollars), 2010-2014","Per capita income in past 12 months (in 2014 dollars), 2010-2014","Persons in poverty, percent",Businesses,"All firms, 2007","Men-owned firms, 2007","Women-owned firms, 2007","Minority-owned firms, 2007","Nonminority-owned firms, 2007","Veteran-owned firms, 2007","Nonveteran-owned firms, 2007",Geography,"Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Fresno,California,515986,4,7.752148314,37885,0.073422535,0,0,-0.073422535,2382,4.616404321,Fresno,"Fresno city, California",515986,496080,4,494665,8.9,30.1,9.3,50.9,49.6,8.3,1.7,12.6,0.2,5,46.9,30,21483,21.1,171288,47.4,175600,1505,396,890,160172,3.1,80.8,42.4,74.8,20.1,9.5,20.1,61.8,56.4,813573,3475992,3965639,4831362,6358834,13655,21.5,41455,19226,30.6,"Fresno city, California",33054,15783,9882,12578,17543,2223,27435,"Fresno city, California",4418.3,111.96,"""0627000"""
Honolulu,Hawaii,350399,1,2.853889423,4642,0.013247755,0,0,-0.013247755,1025,2.925236659,Honolulu,"Honolulu County, Hawaii",991788,953207,4,953207,6.4,22.1,14.5,49.9,20.8,2,0.3,43.9,9.5,22.3,8.1,19.1,83004,19.4,336899,54.9,564400,2422,562,1528,310141,3.03,84.5,27.5,90.7,32.5,6.3,6.7,61.2,58.6,4123825,5055422,8201881,7377106,11518349,12817,27.6,73581,30735,9.8,"Honolulu County, Hawaii",74069,35198,23732,48504,18635,6369,60711,"Honolulu County, Hawaii",1586.7,600.74,"""15003"""
Houston,Texas,2239558,14,6.251233502,485956,0.216987459,9,0.642857143,0.425869684,22008,9.826939066,Houston,"Houston city, Texas",2239558,2096661,6.8,2099451,8.1,25.9,9,49.8,50.5,23.7,0.7,6,0.1,3.3,43.8,25.6,80369,28.4,892646,44.5,125400,1482,508,862,792763,2.69,79.4,46.9,75.9,29.8,7,30.9,68.1,59.7,6263910,18730163,49121973,189998400,36570164,16573,26.1,45728,27938,22.9,"Houston city, Texas",219284,114030,63416,106895,98380,17636,183805,"Houston city, Texas",3501.5,599.59,"""4835000"""
Indianapolis,Indiana,848788,9,10.60335443,223053,0.262790002,4,0.444444444,0.181654443,10768,12.6863245,Indianapolis,"Indianapolis city (balance), Indiana",848788,820441,3.5,820445,7.6,25,10.5,51.7,61.8,27.5,0.3,2.1,Z,2.8,9.4,58.6,49352,8.7,379856,54.6,117200,1129,386,784,328423,2.49,82.7,12.6,84.6,27.6,10.4,18.6,67.5,63.5,D,D,D,D,12060149,15139,22.7,42076,24058,21.4,"Indianapolis city (balance), Indiana",63794,33758,18202,11055,48644,6428,51228,"Indianapolis city (balance), Indiana",2270,361.43,"""1836003"""
Jacksonville,Florida,853382,5,5.859040852,247516,0.290041271,4,0.8,0.509958729,5853,6.858593221,Jacksonville,"Jacksonville city, Florida",853382,821784,3.8,821784,7,23.9,10.9,51.5,59.4,30.7,0.4,4.3,0.1,2.9,7.7,55.1,81138,9.7,366273,60.3,138500,1392,449,932,315619,2.59,80.9,13.8,88.1,25.5,9.4,18.5,64.2,60.9,1568240,5643832,11145304,17103950,12749715,15832,23.5,46768,25496,17.8,"Jacksonville city, Florida",64101,32309,19155,17133,42477,7524,50576,"Jacksonville city, Florida",1100.1,747,"""1235000"""
"Kansas City, MO",Missouri,470800,3,6.37213254,135916,0.288691589,3,1,0.711308411,5862,12.45114698,"Kansas City, MO","Kansas City city, Missouri",470800,459787,2.4,459787,7.5,24.2,11,51.5,59.2,29.9,0.5,2.5,0.2,3.2,10,54.9,30148,7.6,221860,55.4,133600,1341,454,796,192799,2.37,80.2,12,88,31.6,9.4,18.3,68.4,65.3,1668701,3941692,7789319,15540084,6712982,14108,21.4,45376,27282,19.4,"Kansas City city, Missouri",35818,17588,10339,6932,25924,3217,28349,"Kansas City city, Missouri",1459.9,314.95,"""2938000"""
Las Vegas,Nevada,2027868,10,4.931287441,235232.688,0.116,2,0.2,0.084,12876,6.349525709,Las Vegas,"Las Vegas city, Nevada",613599,584240,5,583756,7.2,25.7,12,49.6,62.1,11.1,0.7,6.1,0.6,4.9,31.5,47.9,45863,21.3,243701,52.5,161600,1515,421,983,213037,2.77,76.1,33.5,83,21.6,9,24.9,64,59.5,3134003,4996799,872940,1566589,9178860,16394,25.2,50903,25555,17.7,"Las Vegas city, Nevada",54557,25611,16073,14235,35936,5206,43598,"Las Vegas city, Nevada",4298.2,135.82,"""3240000"""
Long Beach,California,473577,5,10.55794517,59925,0.126536973,1,0.2,0.073463027,2304,4.865101135,Long Beach,"Long Beach city, California",473577,462257,2.4,462257,7,24.9,9.3,51,46.1,13.5,0.7,12.9,1.1,5.3,40.8,29.4,20452,26.1,176032,40.2,419400,2214,442,1118,163232,2.82,82.6,45.4,79.3,29,6.8,21.2,66.4,60.3,924807,2720719,6198312,7337070,4320870,9395,29,52944,27014,20.7,"Long Beach city, California",37610,17752,12899,16436,18676,2585,32689,"Long Beach city, California",9191.3,50.29,"""0643000"""
Los Angeles,California,3928864,22,5.599582984,347380,0.088417415,4,0.181818182,0.093400767,19171,4.879527517,Los Angeles,"Los Angeles city, California",3928864,3792657,3.6,3792621,6.6,23.1,10.5,50.2,49.8,9.6,0.7,11.3,0.1,4.6,48.5,28.7,101509,38.6,1413995,37.2,453800,2502,608,1194,1329372,2.84,85.4,60.1,74.9,31.5,6.1,26.4,66.3,59.5,8271789,22925848,41805565,49819882,36672803,9705,29.6,49682,28320,22.4,"Los Angeles city, California",450050,234486,136579,181147,241673,25897,398779,"Los Angeles city, California",8092.3,468.67,"""0644000"""
Louisville,Kentucky,612780,2,3.263814093,135138,0.220532654,1,0.5,0.279467346,4005,6.535787722,Louisville,"Louisville/Jefferson County (balance), Kentucky",612780,597265,2.6,597337,6.7,23.6,12.6,51.6,70.6,22.9,0.3,2.2,0.1,2.3,4.5,68.3,41368,6.7,270928,60.8,140400,1208,398,713,244662,2.42,85.3,8.4,86.9,27.4,11.7,14.7,65.2,60.9,1257707,4411758,24118611,10857887,7457373,13254,22.3,44806,26621,18.4,"Louisville/Jefferson County (balance), Kentucky",52754,27732,14580,7265,42312,5075,42912,"Louisville/Jefferson County (balance), Kentucky",1836.6,325.25,"""2148006"""
